,Unnamed: 0,zipcode,child capacity,ageless5,pop,Latitude,Longitude,radius_meters,Desert,Few_Child,Not_Desert,Classification
359,359,80467,6.0,121,2161,40.266778,-106.92849,12200,1,0,0,1
360,360,80469,32.0,0,364,40.218412,-106.94494,5700,0,2,0,2
361,361,80470,49.0,111,3395,39.45658,-105.36876,9300,0,0,3,3
362,362,80820,8.0,13,844,38.783844,-105.63616,13800,0,2,0,2
363,363,80821,15.0,107,1083,39.020889,-103.48045,23400,1,0,0,1
364,364,80822,15.0,0,169,39.63395300000001,-102.69795,11700,0,2,0,2
365,365,80823,15.0,27,174,38.709972,-103.54469,16200,0,2,0,2
366,366,80825,15.0,47,503,38.765737,-102.78889,20700,1,0,0,1
367,367,80827,368.0,6,659,39.031989,-105.46846,12600,0,2,0,2
368,368,80828,131.0,107,3597,39.273148,-103.69416,18700,0,0,3,3
369,369,80829,15.0,199,5780,38.853663,-104.93485,3700,1,0,0,1
370,370,80831,483.0,1113,23859,38.96634,-104.54313,11000,0,0,3,3
371,371,80833,30.0,32,658,38.694617,-103.96314,17500,0,0,3,3
372,372,80834,15.0,9,224,39.315812,-102.88573,13600,0,2,0,2
373,373,80835,21.0,73,1014,39.172831,-104.08793,9600,1,0,0,1
374,374,80836,20.0,99,1139,39.29782,-102.59745,15600,1,0,0,1
375,375,81324,32.0,60,1219,37.775543,-108.92455,11900,0,0,3,3
